Cycle,Duty cycle,Current density
0.97125,0.1,14.49362
0.975,0.1,14.66132
0.9775,0.1,14.82341
0.98125,0.1,14.9798
0.98375,0.1,15.13046
0.9875,0.1,15.27532
0.99,0.1,15.41432
0.99375,0.1,15.54741
0.99625,0.1,15.67454
1,0.1,15.79567
1.0025,0.1,15.91076
1.00625,0.1,16.01973
1.00875,0.1,16.12257
1.0125,0.1,16.21922
1.015,0.1,16.30965
1.01875,0.1,16.39383
1.02125,0.1,16.47171
1.025,0.1,16.54326
1.0275,0.1,16.60846
1.03125,0.1,16.66728
1.03375,0.1,16.71969
1.0375,0.1,16.76566
1.04,0.1,16.80518
1.04375,0.1,16.83823
1.04625,0.1,16.86478
1.05,0.1,16.88483
1.0525,0.1,16.89836
1.05625,0.1,16.90537
1.05875,0.1,16.90584
1.0625,0.1,16.89978
1.065,0.1,16.88718
1.06875,0.1,16.86804
1.07125,0.1,16.84237
1.075,0.1,16.81018
1.0775,0.1,16.77147
1.08125,0.1,16.72626
1.08375,0.1,16.67457
1.0875,0.1,16.6164
1.09,0.1,16.55179
1.09375,0.1,16.48075
1.09625,0.1,16.40332
1.1,0.1,16.31952
1.1025,0.1,16.22939
1.10625,0.1,16.13295
1.10875,0.1,16.03025
1.1125,0.1,15.92133
1.115,0.1,15.80623
1.11875,0.1,15.685
1.12125,0.1,15.55767
1.125,0.1,15.42432
1.1275,0.1,15.28497
1.13125,0.1,15.1397
1.13375,0.1,14.98856
1.1375,0.1,14.83161
1.14,0.1,14.66891
1.14375,0.1,14.50052
1.14625,0.1,14.32651
1.15,0.1,14.14696
1.1525,0.1,13.96193
1.15625,0.1,13.77149
1.15875,0.1,13.57572
1.1625,0.1,13.3747
1.165,0.1,13.1685
1.16875,0.1,12.95721
1.17125,0.1,12.74091
1.175,0.1,12.51968
1.1775,0.1,12.29361
1.18125,0.1,12.0628
1.18375,0.1,11.82732
1.1875,0.1,11.58727
1.19,0.1,11.34275
1.19375,0.1,11.09385
1.19625,0.1,10.84067
1.2,0.1,10.5833
1.2025,0.1,10.32185
1.20625,0.1,10.05642
1.20875,0.1,9.78711
1.2125,0.1,9.51403
1.215,0.1,9.23729
1.21875,0.1,8.95698
1.22125,0.1,8.67324
1.225,0.1,8.38615
1.2275,0.1,8.09584
1.23125,0.1,7.80242
1.23375,0.1,7.50601
1.2375,0.1,7.20671
1.24,0.1,6.90466
1.24375,0.1,6.59996
1.24625,0.1,6.29274
1.25,0.1,5.98311
1.2525,0.1,5.6712
1.25625,0.1,5.35714
1.25875,0.1,5.04104
1.2625,0.1,4.72303
1.265,0.1,4.40322
1.26875,0.1,4.08176
1.27125,0.1,3.75877
1.275,0.1,3.43436
1.2775,0.1,3.10867
1.28125,0.1,2.78183
1.28375,0.1,2.45395
1.2875,0.1,2.12518
1.29,0.1,1.79564
1.29375,0.1,1.46545
1.29625,0.1,1.13475
1.3,0.1,0.80365
1.3025,0.1,0.4723
1.30625,0.1,0.14081
1.30875,0.1,-0.19068
1.3125,0.1,-0.52205
1.315,0.1,-0.85318
1.31875,0.1,-1.18393
1.32125,0.1,-1.51419
1.325,0.1,-1.84382
1.3275,0.1,-2.17271
1.33125,0.1,-2.50073
1.33375,0.1,-2.82776
1.3375,0.1,-3.15368
1.34,0.1,-3.47836
1.34375,0.1,-3.80169
1.34625,0.1,-4.12355
1.35,0.1,-4.44381
1.3525,0.1,-4.76237
1.35625,0.1,-5.07911
1.35875,0.1,-5.3939
1.3625,0.1,-5.70664
1.365,0.1,-6.0172
1.36875,0.1,-6.32548
1.37125,0.1,-6.63136
1.375,0.1,-6.93472
1.3775,0.1,-7.23546
1.38125,0.1,-7.53345
1.38375,0.1,-7.82859
1.3875,0.1,-8.12077
1.39,0.1,-8.40987
1.39375,0.1,-8.69578
1.39625,0.1,-8.9784
1.4,0.1,-9.25761
1.4025,0.1,-9.5333
1.40625,0.1,-9.80537
1.40875,0.1,-10.07371
1.4125,0.1,-10.33821
1.415,0.1,-10.59878
1.41875,0.1,-10.8553
1.42125,0.1,-11.10768
1.425,0.1,-11.35582
1.4275,0.1,-11.59961
1.43125,0.1,-11.83897
1.43375,0.1,-12.0738
1.4375,0.1,-12.30401
1.44,0.1,-12.5295
1.44375,0.1,-12.7502
1.44625,0.1,-12.96601
1.45,0.1,-13.17684
1.4525,0.1,-13.38263
1.45625,0.1,-13.58329
1.45875,0.1,-13.77873
1.4625,0.1,-13.9689
1.465,0.1,-14.15371
1.46875,0.1,-14.3331
1.47125,0.1,-14.50699
1.475,0.1,-14.67533
1.4775,0.1,-14.83804
1.48125,0.1,-14.99507
1.48375,0.1,-15.14636
1.4875,0.1,-15.29184
1.49,0.1,-15.43147
1.49375,0.1,-15.56519
1.49625,0.1,-15.69295
1.5,0.1,-15.8147
1.5025,0.1,-15.93039
1.50625,0.1,-16.03998
1.50875,0.1,-16.14343
1.5125,0.1,-16.24068
1.515,0.1,-16.33171
1.51875,0.1,-16.41648
1.52125,0.1,-16.49494
1.525,0.1,-16.56708
1.5275,0.1,-16.63285
1.53125,0.1,-16.69224
1.53375,0.1,-16.7452
1.5375,0.1,-16.79173
1.54,0.1,-16.83179
1.54375,0.1,-16.86537
1.54625,0.1,-16.89245
1.55,0.1,-16.91301
1.5525,0.1,-16.92705
1.55625,0.1,-16.93456
1.55875,0.1,-16.93552
1.5625,0.1,-16.92994
1.565,0.1,-16.9178
1.56875,0.1,-16.89912
1.57125,0.1,-16.8739
1.575,0.1,-16.84215
1.5775,0.1,-16.80386
1.58125,0.1,-16.75907
1.58375,0.1,-16.70777
1.5875,0.1,-16.65
1.59,0.1,-16.58577
1.59375,0.1,-16.5151
1.59625,0.1,-16.43802
1.6,0.1,-16.35456
1.6025,0.1,-16.26476
1.60625,0.1,-16.16864
1.60875,0.1,-16.06625
1.6125,0.1,-15.95762
1.615,0.1,-15.8428
1.61875,0.1,-15.72183
1.62125,0.1,-15.59476
1.625,0.1,-15.46164
1.6275,0.1,-15.32252
1.63125,0.1,-15.17747
1.63375,0.1,-15.02652
1.6375,0.1,-14.86976
1.64,0.1,-14.70722
1.64375,0.1,-14.53899
1.64625,0.1,-14.36513
1.65,0.1,-14.18571
1.6525,0.1,-14.00079
1.65625,0.1,-13.81045
1.65875,0.1,-13.61477
1.6625,0.1,-13.41382
1.665,0.1,-13.20768
1.66875,0.1,-12.99644
1.67125,0.1,-12.78017
1.675,0.1,-12.55895
1.6775,0.1,-12.33289
1.68125,0.1,-12.10206
1.68375,0.1,-11.86655
1.6875,0.1,-11.62646
1.69,0.1,-11.38188
1.69375,0.1,-11.13291
1.69625,0.1,-10.87964
1.7,0.1,-10.62218
1.7025,0.1,-10.36061
1.70625,0.1,-10.09505
1.70875,0.1,-9.8256
1.7125,0.1,-9.55236
1.715,0.1,-9.27545
1.71875,0.1,-8.99496
1.72125,0.1,-8.71101
1.725,0.1,-8.42371
1.7275,0.1,-8.13318
1.73125,0.1,-7.83951
1.73375,0.1,-7.54284
1.7375,0.1,-7.24328
1.74,0.1,-6.94094
1.74375,0.1,-6.63595
1.74625,0.1,-6.32842
1.75,0.1,-6.01847
1.7525,0.1,-5.70623
1.75625,0.1,-5.39181
1.75875,0.1,-5.07535
1.7625,0.1,-4.75696
1.765,0.1,-4.43678
1.76875,0.1,-4.11492
1.77125,0.1,-3.79151
1.775,0.1,-3.46668
1.7775,0.1,-3.14056
1.78125,0.1,-2.81326
1.78375,0.1,-2.48493
1.7875,0.1,-2.15569
1.79,0.1,-1.82567
1.79375,0.1,-1.49499
1.79625,0.1,-1.16378
1.8,0.1,-0.83218
1.8025,0.1,-0.5003
1.80625,0.1,-0.16828
1.80875,0.1,0.16376
1.8125,0.1,0.49569
1.815,0.1,0.82738
1.81875,0.1,1.15871
1.82125,0.1,1.48955
1.825,0.1,1.81978
1.8275,0.1,2.14927
1.83125,0.1,2.47791
1.83375,0.1,2.80556
1.8375,0.1,3.13211
1.84,0.1,3.45744
1.84375,0.1,3.78142
1.84625,0.1,4.10394
1.85,0.1,4.42488
1.8525,0.1,4.74412
1.85625,0.1,5.06155
1.85875,0.1,5.37704
1.8625,0.1,5.69048
1.865,0.1,6.00177
1.86875,0.1,6.31077
1.87125,0.1,6.61737
1.875,0.1,6.92147
1.8775,0.1,7.22295
1.88125,0.1,7.52169
1.88375,0.1,7.81759
1.8875,0.1,8.11052
1.89,0.1,8.40037
1.89375,0.1,8.68705
1.89625,0.1,8.97042
1.9,0.1,9.25039
1.9025,0.1,9.52684
1.90625,0.1,9.79967
1.90875,0.1,10.06876
1.9125,0.1,10.33401
1.915,0.1,10.59533
1.91875,0.1,10.85259
1.92125,0.1,11.1057
1.925,0.1,11.35457
1.9275,0.1,11.59909
1.93125,0.1,11.83916
1.93375,0.1,12.0747
1.9375,0.1,12.30561
1.94,0.1,12.5318
1.94375,0.1,12.75317
1.94625,0.1,12.96966
1.95,0.1,13.18116
1.9525,0.1,13.3876
1.95625,0.1,13.58891
1.95875,0.1,13.785
1.9625,0.1,13.97579
1.965,0.1,14.16122
1.96875,0.1,14.34122
1.97125,0.1,14.51572
1.975,0.1,14.68465
1.9775,0.1,14.84795
1.98125,0.1,15.00555
1.98375,0.1,15.15741
1.9875,0.1,15.30345
1.99,0.1,15.44363
1.99375,0.1,15.57789
1.99625,0.1,15.70617
2,0.1,15.82844
0,0.12,16.20752
0.0025,0.12,16.33529
0.00625,0.12,16.45679
0.00875,0.12,16.57198
0.0125,0.12,16.68082
0.015,0.12,16.78326
0.01875,0.12,16.87926
0.02125,0.12,16.96878
0.025,0.12,17.05178
0.0275,0.12,17.12823
0.03125,0.12,17.19809
0.03375,0.12,17.26134
0.0375,0.12,17.31793
0.04,0.12,17.36786
0.04375,0.12,17.41108
0.04625,0.12,17.44759
0.05,0.12,17.47736
0.0525,0.12,17.50037
0.05625,0.12,17.51662
0.05875,0.12,17.52609
0.0625,0.12,17.52877
0.065,0.12,17.52466
0.06875,0.12,17.51375
0.07125,0.12,17.49606
0.075,0.12,17.47157
0.0775,0.12,17.44031
0.08125,0.12,17.40227
0.08375,0.12,17.35746
0.0875,0.12,17.30592
0.09,0.12,17.24765
0.09375,0.12,17.18267
0.09625,0.12,17.11102
0.1,0.12,17.03271
0.1025,0.12,16.94778
0.10625,0.12,16.85626
0.10875,0.12,16.75819
0.1125,0.12,16.65361
0.115,0.12,16.54255
0.11875,0.12,16.42506
0.12125,0.12,16.30119
0.125,0.12,16.17099
0.1275,0.12,16.03451
0.13125,0.12,15.8918
0.13375,0.12,15.74292
0.1375,0.12,15.58793
0.14,0.12,15.4269
0.14375,0.12,15.25988
0.14625,0.12,15.08694
0.15,0.12,14.90815
0.1525,0.12,14.72358
0.15625,0.12,14.53331
0.15875,0.12,14.33741
0.1625,0.12,14.13595
0.165,0.12,13.92903
0.16875,0.12,13.71671
0.17125,0.12,13.49909
0.175,0.12,13.27624
0.1775,0.12,13.04826
0.18125,0.12,12.81524
0.18375,0.12,12.57727
0.1875,0.12,12.33444
0.19,0.12,12.08685
0.19375,0.12,11.83459
0.19625,0.12,11.57776
0.2,0.12,11.31647
0.2025,0.12,11.05082
0.20625,0.12,10.7809
0.20875,0.12,10.50684
0.2125,0.12,10.22873
0.215,0.12,9.94669
0.21875,0.12,9.66082
0.22125,0.12,9.37125
0.225,0.12,9.07807
0.2275,0.12,8.78141
0.23125,0.12,8.48139
0.23375,0.12,8.17812
0.2375,0.12,7.87172
0.24,0.12,7.56232
0.24375,0.12,7.25003
0.24625,0.12,6.93499
0.25,0.12,6.6173
0.2525,0.12,6.2971
0.25625,0.12,5.97452
0.25875,0.12,5.64968
0.2625,0.12,5.3227
0.265,0.12,4.99373
0.26875,0.12,4.66288
0.27125,0.12,4.33028
0.275,0.12,3.99607
0.2775,0.12,3.66038
0.28125,0.12,3.32334
0.28375,0.12,2.98508
0.2875,0.12,2.64572
0.29,0.12,2.30542
0.29375,0.12,1.96428
0.29625,0.12,1.62245
0.3,0.12,1.28006
0.3025,0.12,0.93723
0.30625,0.12,0.59411
0.30875,0.12,0.25081
0.3125,0.12,-0.09252
0.315,0.12,-0.43576
0.31875,0.12,-0.77879
0.32125,0.12,-1.12146
0.325,0.12,-1.46366
0.3275,0.12,-1.80526
0.33125,0.12,-2.14613
0.33375,0.12,-2.48615
0.3375,0.12,-2.82519
0.34,0.12,-3.16312
0.34375,0.12,-3.49983
0.34625,0.12,-3.83519
0.35,0.12,-4.16908
0.3525,0.12,-4.50138
0.35625,0.12,-4.83196
0.35875,0.12,-5.16072
0.3625,0.12,-5.48752
